location,date,total_count
OSBS,2014-08,12534
OSBS,2014-09,12499
OSBS,2014-10,9146.0
OSBS,2016-03,4681
OSBS,2016-04,5614
OSBS,2016-05,6381
OSBS,2016-06,7384.0
OSBS,2016-07,5806
OSBS,2016-08,5186.0
OSBS,2016-09,4826.0
OSBS,2016-10,6686
OSBS,2016-11,2244
OSBS,2017-02,3467.0
OSBS,2017-03,3669
OSBS,2017-04,1887.0
OSBS,2017-05,1757
OSBS,2017-06,7610
OSBS,2017-07,9547.0
OSBS,2017-08,7977
OSBS,2017-09,8259
OSBS,2017-10,8529
OSBS,2017-11,5959
OSBS,2017-12,1723.0
OSBS,2018-01,5021
OSBS,2018-02,6057
OSBS,2018-03,2570.0
OSBS,2018-04,3576.0
OSBS,2018-05,3961.0
OSBS,2018-06,3726
OSBS,2018-07,4348
OSBS,2018-08,4208.0
OSBS,2018-09,4242
OSBS,2018-10,5725.0
OSBS,2018-11,1340
OSBS,2018-12,983
OSBS,2019-01,850
OSBS,2019-02,2939
OSBS,2019-03,2808
OSBS,2019-04,6887
OSBS,2019-05,4119
OSBS,2019-06,4386
OSBS,2019-07,3919
OSBS,2019-08,4543
OSBS,2019-09,3927
OSBS,2019-10,5956
OSBS,2019-11,1147
OSBS,2019-12,2532
OSBS,2020-01,326
OSBS,2020-02,2033
OSBS,2020-03,3036
OSBS,2020-04,0.0
OSBS,2020-05,0.0
OSBS,2020-06,2107
OSBS,2020-07,2045
OSBS,2020-08,0.0
OSBS,2020-09,0.0
OSBS,2020-10,3243
OSBS,2020-11,1975
OSBS,2020-12,425
OSBS,2021-01,459
OSBS,2021-02,588
OSBS,2021-03,1930
OSBS,2021-04,5506
OSBS,2021-05,3467
OSBS,2021-06,1594
OSBS,2021-07,4548
OSBS,2021-08,3843
OSBS,2021-09,6199
OSBS,2021-10,3713
GUAN,2014-04,0.0
GUAN,2016-02,42.0
GUAN,2016-03,376
GUAN,2016-04,38.0
GUAN,2016-05,3745
GUAN,2016-06,778.0
GUAN,2016-07,125
GUAN,2016-08,94
GUAN,2016-09,1634
GUAN,2016-10,4079
GUAN,2016-11,9447
GUAN,2017-02,135
GUAN,2017-03,53.0
GUAN,2017-04,235
GUAN,2017-05,96
GUAN,2017-06,1171
GUAN,2017-07,2546
GUAN,2017-08,1818
GUAN,2017-09,1752
GUAN,2017-12,752
GUAN,2018-01,398
GUAN,2018-02,213
GUAN,2018-03,941
GUAN,2018-04,171
GUAN,2018-05,14
GUAN,2018-06,209
GUAN,2018-07,614
GUAN,2018-08,170
GUAN,2018-09,710
GUAN,2018-10,2362
GUAN,2018-11,1344
GUAN,2018-12,252
GUAN,2019-01,53
GUAN,2019-02,5
GUAN,2019-03,451
GUAN,2019-04,60
GUAN,2019-05,204
GUAN,2019-06,28
GUAN,2019-07,58
GUAN,2019-08,46
GUAN,2019-09,1162
GUAN,2019-10,3569
GUAN,2019-11,2992
GUAN,2019-12,1056
GUAN,2020-03,503
GUAN,2020-04,0.0
GUAN,2020-05,0.0
GUAN,2020-06,5
GUAN,2020-07,48
GUAN,2020-08,2360
GUAN,2020-09,1083
GUAN,2020-10,329
GUAN,2020-11,1209
GUAN,2020-12,1412
GUAN,2021-01,102
GUAN,2021-02,24
GUAN,2021-03,49
GUAN,2021-04,16
GUAN,2021-05,20
GUAN,2021-06,15
GUAN,2021-07,213
GUAN,2021-08,462
GUAN,2021-09,182
GUAN,2021-10,1269
LAJA,2016-04,176.0
LAJA,2016-05,314
LAJA,2016-06,97
LAJA,2016-07,96.0
LAJA,2016-08,294
LAJA,2016-09,3061
LAJA,2016-10,2844
LAJA,2017-03,366.0
LAJA,2017-04,200
LAJA,2017-05,852
LAJA,2017-06,527
LAJA,2017-07,185
LAJA,2017-08,144
LAJA,2017-11,2937.0
LAJA,2017-12,233
LAJA,2018-01,349
LAJA,2018-02,220
LAJA,2018-03,350
LAJA,2018-04,609
LAJA,2018-05,170
LAJA,2018-06,88
LAJA,2018-07,55
LAJA,2018-08,542
LAJA,2018-09,330.0
LAJA,2018-10,465.0
LAJA,2018-11,1124
LAJA,2018-12,187
LAJA,2019-01,353.0
LAJA,2019-02,218
LAJA,2019-03,181
LAJA,2019-04,64
LAJA,2019-05,163
LAJA,2019-06,38
LAJA,2019-07,105
LAJA,2019-08,113
LAJA,2019-09,171
LAJA,2019-10,410
LAJA,2019-11,829
LAJA,2019-12,172
LAJA,2020-03,147
LAJA,2020-04,0.0
LAJA,2020-05,0.0
LAJA,2020-06,101
LAJA,2020-08,403
LAJA,2020-09,826
LAJA,2020-11,262
LAJA,2020-12,190
LAJA,2021-01,181
LAJA,2021-02,106
LAJA,2021-03,92
LAJA,2021-04,120
LAJA,2021-05,33
LAJA,2021-06,181
LAJA,2021-07,74
LAJA,2021-08,33
LAJA,2021-09,0.0
LAJA,2021-10,189
STEI,2016-05,889
STEI,2016-06,5950
STEI,2016-07,6000
STEI,2016-08,5845
STEI,2016-09,1587.0
STEI,2016-10,0.0
STEI,2017-04,0.0
STEI,2017-05,1660
STEI,2017-06,5666
